Fighter,Event,Date,Nationality,Division,Weightclass,Weight,Missed by,Notes,Withdrawn
Chad Laprise,Vancouver,8/27/2016,CAN,LW,155,159,4,,
Johny Hendricks,UFC 200,7/9/2016,USA,WW,170,171.5,1.5,,
Randa Markos,Ottowa,6/18/2016,CAN,WSW,115,117.5,2.5,,
Augusto Mendes,Pittsburg,2/21/2016,BRA,BW,135,142,7,Was late notice replacement,
Charles Oliveira,Orlando,12/19/2015,BRA,FW,145,150.5,5.5,,
Francisco Trevino,Houston,10/3/2015,USA,LW,155,160,5,Missed weight and then tested positive for Marijuana,
Ray Borg,Nashville,8/8/2015,USA,FLY,125,126.75,1.75,,
Maximo Blanco,TUF,7/12/2015,VEN,FW,145,148.5,3.5,,
Jeremy Stephens,UFC 189,7/11/2015,USA,FW,145,149.5,4.5,,
Lewis Gonzalez,Florida,6/27/2015,,WW,170,174,4,,
Yancy Medeiros,New Orleans,6/6/2015,,LW,155,159.5,4.5,,
Leonardo Morales,New Orleans,6/6/2015,,BW,135,140,5,,
Royston Wee,Pasay,5/16/2015,,BW,135,137,2,,
Daron Cruickshank,UFC 185,3/14/2015,,LW,155,157.5,2.5,,
Patrick Walsh,Colorado,2/14/2015,,MW,185,191.5,6.5,,
James Moontasri,Colorado,2/14/2015,,LW,155,158,3,,
Pietro Menga,Winnipeg,12/16/2017,GBR,FLY,125,131,6,Withdrawn by doctor at 6lb over limit,Withdrawn
Sijara Eubanks,Tuf Finale,12/1/2017,USA,WFLY,125,,,Failed to weigh-in after being hospitalised,Withdrawn
Mizuto Hirota,Japan,9/22/2017,JAP,FW,145,,,"missed weight by 4lb, then withdrawn",Withdrawn
Felipe Arantes,Pittsburgh,9/16/2017,BRA,BW,135,,,withdrawn by doctor due to illness,Withdrawn
Amanda Nunes,UFC 213,7/8/2017,BRA,WBW,135,,,withdrew ill on night of fight,Withdrawn
Aspen Ladd,Tuf Finale,7/7/2017,USA,WBW,135,,,withdrew ill with “food poisoning”,Withdrawn
Thibault Gouti,Auckland,6/10/2017,FRA,LW,155,,,withdrawn by doctor unfit to fight,Withdrawn
Jared Gordon,UFC 211,5/13/2017,USA,LHW,205,,,withdrew ill with “food poisoning”,Withdrawn
Ian Entwistle,London,3/18/2017,RUS,BW,135,139,4,withdrawn,Withdrawn
Tom Breese,London,3/18/2017,GBR,WW,170,,,withdrawn by doctor unfit to fight,Withdrawn
Khabib Nurmagomedov,UFC 209,3/4/2017,RUS,LW,155,,,withdrew with weight cutting issues,Withdrawn
Ian McCall,UFC 208,2/11/2017,USA,FLY,125,,,withdrew ill with gastrointestinal issues,Withdrawn
Justin Willis,UFC 208,2/11/2017,USA,HW,265,,,withdrew with weight cutting issues,Withdrawn
Ian McCall,Belfast,11/19/2016,USA,FLY,125,,,withdrew ill with gastrointestinal issues,Withdrawn
Kelvin Gastelum,UFC 205,11/12/2016,USA,WW,170,,,withdrew unable to make weight,Withdrawn
Justin Scoggins,UFC 201 ,7/30/2016,USA,FLY,125,,,withdrew with weight cutting issues,Withdrawn
Johny Hendricks,Houston,10/3/2015,USA,WW,170,,,Hospitalised with kidney stone and intestinal blockage,Withdrawn
Nina Ansaroff,UFC 187,5/23/2015,,WSW,115,120,5,Pulled out of fight vs Namajunas due to sickness,Withdrawn
