Date,Event,Fight,Fighter,Opponent,Url,Weight
2017-12-30,UFC 219,Tim Elliott (135) vs. Mark De La Rosa (135.5),Mark De La Rosa,Tim Elliott,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,135.5
2017-12-30,UFC 219,Marvin Vettori (185.5) vs. Omari Akhmedov (185.5),Omari Akhmedov,Marvin Vettori,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,185.5
2017-12-30,UFC 219,Marvin Vettori (185.5) vs. Omari Akhmedov (185.5),Marvin Vettori,Omari Akhmedov,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,185.5
2017-12-30,UFC 219,Louis Smolka (126) vs. Matheus Nicolau (125.5),Louis Smolka,Matheus Nicolau,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,126.0
2017-12-30,UFC 219,Myles Jury (146) vs. Rick Glenn (145.5),Myles Jury,Rick Glenn,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,146.0
2017-12-30,UFC 219,Khalil Rountree (205) vs. Michael Oleksiejczuk (203.5),Michael Oleksiejczuk,Khalil Rountree,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,203.5
2017-12-30,UFC 219,Khalil Rountree (205) vs. Michael Oleksiejczuk (203.5),Khalil Rountree,Michael Oleksiejczuk,https://www.mmafighting.com/2017/12/29/16828050/ufc-219-weigh-in-video,205.0
2017-12-16,UFC on FOX 26,Erick Silva (170.5) vs. Jordan Mein (169),Erick Silva,Jordan Mein,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,Chad Laprise (170.5) vs. Galore Bofando (170),Galore Bofando,Chad Laprise,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.0
2017-12-16,UFC on FOX 26,Chad Laprise (170.5) vs. Galore Bofando (170),Chad Laprise,Galore Bofando,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,Robbie Lawler (170.5) vs. Rafael dos Anjos (170),Robbie Lawler,Rafael dos Anjos,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,Ricardo Lamas (146) vs. Josh Emmett (148.5),Ricardo Lamas,Josh Emmett,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,146.0
2017-12-16,UFC on FOX 26,Nordine Taleb (170.5) vs. Danny Roberts (170.5),Nordine Taleb,Danny Roberts,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,Nordine Taleb (170.5) vs. Danny Roberts (170.5),Danny Roberts,Nordine Taleb,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,John Makdessi (153) vs. Abel Trujillo (155.5),John Makdessi,Abel Trujillo,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,153.0
2017-12-16,UFC on FOX 26,John Makdessi (153) vs. Abel Trujillo (155.5),Abel Trujillo,John Makdessi,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,155.5
2017-12-16,UFC on FOX 26,Alessio Di Chirico (185) vs. Oluwale Bamgbose (184.5),Alessio Di Chirico,Oluwale Bamgbose,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,185.0
2017-12-16,UFC on FOX 26,Alessio Di Chirico (185) vs. Oluwale Bamgbose (184.5),Oluwale Bamgbose,Alessio Di Chirico,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,184.5
2017-12-16,UFC on FOX 26,Erick Silva (170.5) vs. Jordan Mein (169),Jordan Mein,Erick Silva,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,169.0
2017-12-16,UFC on FOX 26,Robbie Lawler (170.5) vs. Rafael dos Anjos (170),Rafael Dos Anjos,Robbie Lawler,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.0
2017-12-16,UFC on FOX 26,Jan Blachowicz (205.5) vs. Jared Cannonier (204),Jan Blachowicz,Jared Cannonier,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,205.5
2017-12-16,UFC on FOX 26,Ricardo Lamas (146) vs. Josh Emmett (148.5),Josh Emmett,Ricardo Lamas,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,148.5
2017-12-16,UFC on FOX 26,Santiago Ponzinibbio (170.5) vs. Mike Perry (170),Santiago Ponzinibbio,Mike Perry,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.5
2017-12-16,UFC on FOX 26,Santiago Ponzinibbio (170.5) vs. Mike Perry (170),Mike Perry,Santiago Ponzinibbio,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,170.0
2017-12-16,UFC on FOX 26,Glover Teixeira (205) vs. Misha Cirkunov (205.5),Glover Teixeira,Misha Cirkunov,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,205.0
2017-12-16,UFC on FOX 26,Glover Teixeira (205) vs. Misha Cirkunov (205.5),Misha Cirkunov,Glover Teixeira,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,205.5
2017-12-16,UFC on FOX 26,Jan Blachowicz (205.5) vs. Jared Cannonier (204),Jared Cannonier,Jan Blachowicz,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,204.0
2017-12-16,UFC on FOX 26,Darren Stewart (185.5) vs. Julian Marquez (185),Darren Stewart,Julian Marquez,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,185.5
2017-12-16,UFC on FOX 26,Darren Stewart (185.5) vs. Julian Marquez (185),Julian Marquez,Darren Stewart,https://www.mmafighting.com/2017/12/15/16779600/ufc-on-fox-26-weigh-in-video,185.0
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Valerie Letourneau (125.8) vs. Kate Jackson (125.5),Valerie Letourneau,Kate Jackson,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,125.8
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Jeremy Petley (146.4) vs. Lewis Monarch (146),Lewis Monarch,Jeremy Petley,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,146.0
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Mohammad Yahya (163) vs. Ash Griffiths (170.5),Ash Griffiths,Mohammad Yahya,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,170.5
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Michael McDonald (137.6) vs. Peter Ligier (135.8),Michael McDonald,Peter Ligier,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,137.6
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Michael McDonald (137.6) vs. Peter Ligier (135.8),Peter Ligier,Michael McDonald,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,135.8
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Valerie Letourneau (125.8) vs. Kate Jackson (125.5),Kate Jackson,Valerie Letourneau,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,125.5
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,James Thompson (266) vs. Phil De Fries (261),James Thompson,Phil De Fries,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,266.0
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,James Thompson (266) vs. Phil De Fries (261),Philip De Fries,James Thompson,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,261.0
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Mohammad Yahya (163) vs. Ash Griffiths (170.5),Mohammad Yahya,Ash Griffiths,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,163.0
2017-12-15,Bellator 191 weigh-in results: Michael McDonalds debut changed to a catchweight,Jeremy Petley (146.4) vs. Lewis Monarch (146),Jeremy Petley,Lewis Monarch,https://www.mmafighting.com/2017/12/14/16778142/bellator-191-weigh-in-results-michael-mcdonalds-debut-changed-to-a-catchweight,146.4
2017-12-09,"UFC Fresno, results",Frankie Saenz (135.6) vs. Merab Dvalishvili (135.6),Frankie Saenz,Merab Dvalishvili,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.6
2017-12-09,"UFC Fresno, results",Antonio Braga Neto (185.8) vs. Trevin Giles (184.8),Antonio Braga Neto,Trevin Giles,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,185.8
2017-12-09,"UFC Fresno, results",Alex Perez (135) vs. Carls John de Tomas (135.8),Carls John De Tomas,Alex Perez,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.8
2017-12-09,"UFC Fresno, results",Chris Gruetzemacher (154.8) vs. Davi Ramos (155.8),Chris Gruetzemacher,Davi Ramos,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,154.8
2017-12-09,"UFC Fresno, results",Iuri Alcantara (135.4) vs. Alejandro Perez (135.6),Iuri Alcantara,Alejandro Perez,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.4
2017-12-09,"UFC Fresno, results",Iuri Alcantara (135.4) vs. Alejandro Perez (135.6),Alejandro Perez,Iuri Alcantara,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.6
2017-12-09,"UFC Fresno, results",Andre Soukhamthath (136) vs. Luke Sanders (135.6),Andre Soukhamthath,Luke Sanders,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,136.0
2017-12-09,"UFC Fresno, results",Frankie Saenz (135.6) vs. Merab Dvalishvili (135.6),Merab Dvalishvili,Frankie Saenz,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.6
2017-12-09,"UFC Fresno, results",Albert Morales (134) vs. Benito Lopez (135.4),Benito Lopez,Albert Morales,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.4
2017-12-09,"UFC Fresno, results",Andre Soukhamthath (136) vs. Luke Sanders (135.6),Luke Sanders,Andre Soukhamthath,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.6
2017-12-09,"UFC Fresno, results",Alex Perez (135) vs. Carls John de Tomas (135.8),Alex Perez,Carls John de Tomas,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.0
2017-12-09,"UFC Fresno, results",Chris Gruetzemacher (154.8) vs. Davi Ramos (155.8),Davi Ramos,Chris Gruetzemacher,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,155.8
2017-12-09,"UFC Fresno, results",Alexis Davis (125.8) vs. Liz Carmouche (124.8),Alexis Davis,Liz Carmouche,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,125.8
2017-12-09,"UFC Fresno, results",Alexis Davis (125.8) vs. Liz Carmouche (124.8),Liz Carmouche,Alexis Davis,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,124.8
2017-12-09,"UFC Fresno, results",Antonio Braga Neto (185.8) vs. Trevin Giles (184.8),Trevin Giles,Antonio Braga Neto,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,184.8
2017-12-09,"UFC Fresno, results",Jason Knight (145.6) vs. Gabriel Benitez (144.8),Jason Knight,Gabriel Benitez,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,145.6
2017-12-09,"UFC Fresno, results",Markus Perez (185.4) vs. Eryk Anders (185.6),Markus Perez,Eryk Anders,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,185.4
2017-12-09,"UFC Fresno, results",Marlon Moraes (135.4) vs. Aljamain Sterling (135.6),Aljamain Sterling,Marlon Moraes,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.6
2017-12-09,"UFC Fresno, results",Marlon Moraes (135.4) vs. Aljamain Sterling (135.6),Marlon Moraes,Aljamain Sterling,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,135.4
2017-12-09,"UFC Fresno, results",Scott Holtzman (155.8) vs. Darrell Horcher (155.6),Darrell Horcher,Scott Holtzman,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,155.6
2017-12-09,"UFC Fresno, results",Jason Knight (145.6) vs. Gabriel Benitez (144.8),Gabriel Benitez,Jason Knight,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,144.8
2017-12-09,"UFC Fresno, results",Cub Swanson (146) vs. Brian Ortega (144.8),Cub Swanson,Brian Ortega,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,146.0
2017-12-09,"UFC Fresno, results",Cub Swanson (146) vs. Brian Ortega (144.8),Brian Ortega,Cub Swanson,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,144.8
2017-12-09,"UFC Fresno, results",Albert Morales (134) vs. Benito Lopez (135.4),Albert Morales,Benito Lopez,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,134.0
2017-12-09,Bellator 190 weigh-in results: Rafael Carvalho vs. Alessio Sakara title fight official,Gregory Babene (185.2) vs. Tony Zanko (185),Tony Zanko,Gregory Babene,https://www.mmafighting.com/2017/12/8/16750892/bellator-190-weigh-in-results-rafael-carvalho-alessio-sakara-title-fight-official,185.0
2017-12-09,Bellator 190 weigh-in results: Rafael Carvalho vs. Alessio Sakara title fight official,Gregory Babene (185.2) vs. Tony Zanko (185),Gregory Babene,Tony Zanko,https://www.mmafighting.com/2017/12/8/16750892/bellator-190-weigh-in-results-rafael-carvalho-alessio-sakara-title-fight-official,185.2
2017-12-09,"UFC Fresno, results",Scott Holtzman (155.8) vs. Darrell Horcher (155.6),Scott Holtzman,Darrell Horcher,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,155.8
2017-12-09,"UFC Fresno, results",Markus Perez (185.4) vs. Eryk Anders (185.6),Eryk Anders,Markus Perez,https://www.mmafighting.com/2017/12/8/16750562/ufc-fresno-weigh-in-video-results,185.6
2017-12-08,Invicta FC 26,Mackenzie Dern (115.9) vs. Kaline Medeiros (115.8),Kaline Medeiros,Mackenzie Dern,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,115.8
2017-12-08,Invicta FC 26,Jennifer Maia (123.3) vs. Agnieszka Niedzwiedz (124.6),Jennifer Maia,Agnieszka Niedzwiedz,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,123.3
2017-12-08,Invicta FC 26,Jennifer Maia (123.3) vs. Agnieszka Niedzwiedz (124.6),Agnieszka Niedzwiedz,Jennifer Maia,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,124.6
2017-12-08,Invicta FC 26,Mackenzie Dern (115.9) vs. Kaline Medeiros (115.8),Mackenzie Dern,Kaline Medeiros,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,115.9
2017-12-08,Invicta FC 26,Karina Rodriguez (124.7) vs. Christine Ferea (125.7),Karina Rodriguez,Christine Ferea,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,124.7
2017-12-08,Invicta FC 26,Karina Rodriguez (124.7) vs. Christine Ferea (125.7),Christine Ferea,Karina Rodriguez,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,125.7
2017-12-08,Invicta FC 26,Kay Hansen (114.4) vs. Emilee Prince (115.5),Kay Hansen,Emilee Prince,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,114.4
2017-12-08,Invicta FC 26,Kay Hansen (114.4) vs. Emilee Prince (115.5),Emilee Prince,Kay Hansen,https://www.mmafighting.com/2017/12/7/16747364/invicta-fc-26-official-weigh-in-video,115.5
2017-12-02,UFC 218,Max Holloway (145) vs. Jose Aldo (145),Max Holloway,Jose Aldo,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,145.0
2017-12-02,UFC 218,Max Holloway (145) vs. Jose Aldo (145),Jose Aldo,Max Holloway,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,145.0
2017-12-02,UFC 218,Alistair Overeem (247) vs. Francis Ngannou (262),Alistair Overeem,Francis Ngannou,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,247.0
2017-12-02,UFC 218,Alistair Overeem (247) vs. Francis Ngannou (262),Francis Ngannou,Alistair Overeem,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,262.0
2017-12-02,UFC 218,Henry Cejudo (126) vs. Sergio Pettis (125),Henry Cejudo,Sergio Pettis,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,126.0
2017-12-02,UFC 218,Henry Cejudo (126) vs. Sergio Pettis (125),Sergio Pettis,Henry Cejudo,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,125.0
2017-12-02,UFC 218,David Teymur (156) vs. Drakkar Klose (156),David Teymur,Drakkar Klose,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,156.0
2017-12-02,UFC 218,Eddie Alvarez (155) vs. Justin Gaethje (156),Justin Gaethje,Eddie Alvarez,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,156.0
2017-12-02,UFC 218,Tecia Torres (116) vs. Michelle Waterson (115),Tecia Torres,Michelle Waterson,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,116.0
2017-12-02,UFC 218,Tecia Torres (116) vs. Michelle Waterson (115),Michelle Waterson,Tecia Torres,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,115.0
2017-12-02,UFC 218,Charles Oliveira (154.5) vs. Paul Felder (155.5),Charles Oliveira,Paul Felder,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,154.5
2017-12-02,UFC 218,Charles Oliveira (154.5) vs. Paul Felder (155.5),Paul Felder,Charles Oliveira,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,155.5
2017-12-02,UFC 218,Alex Oliveira (170.5) vs. Yancy Medeiros (170),Alex Oliveira,Yancy Medeiros,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,170.5
2017-12-02,UFC 218,Alex Oliveira (170.5) vs. Yancy Medeiros (170),Yancy Medeiros,Alex Oliveira,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,170.0
2017-12-02,UFC 218,Justin Willis (265) vs. Allen Crowder (237),Justin Willis,Allen Crowder,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,265.0
2017-12-02,UFC 218,Eddie Alvarez (155) vs. Justin Gaethje (156),Eddie Alvarez,Justin Gaethje,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,155.0
2017-12-02,UFC 218,Abdul Razak Alhassan (170) vs. Sabah Homasi (170.5),Abdul Razak Alhassan,Sabah Homasi,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,170.0
2017-12-02,UFC 218,Abdul Razak Alhassan (170) vs. Sabah Homasi (170.5),Sabah Homasi,Abdul Razak Alhassan,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,170.5
2017-12-02,UFC 218,Jeremy Kimball (205) vs. Dominick Reyes (205),Jeremy Kimball,Dominick Reyes,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,205.0
2017-12-02,UFC 218,Amanda Cooper (116) vs. Angela Magana (115),Angela Magana,Amanda Cooper,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,115.0
2017-12-02,UFC 218,Jeremy Kimball (205) vs. Dominick Reyes (205),Dominick Reyes,Jeremy Kimball,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,205.0
2017-12-02,UFC 218,Justin Willis (265) vs. Allen Crowder (237),Allen Crowder,Justin Willis,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,237.0
2017-12-02,UFC 218,Amanda Cooper (116) vs. Angela Magana (115),Amanda Bobby Cooper,Angela Magana,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,116.0
2017-12-02,UFC 218,Felice Herrig (115.5) vs. Cortney Casey (115.5),Felice Herrig,Cortney Casey,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,115.5
2017-12-02,UFC 218,Felice Herrig (115.5) vs. Cortney Casey (115.5),Cortney Casey,Felice Herrig,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,115.5
2017-12-02,UFC 218,David Teymur (156) vs. Drakkar Klose (156),Drakkar Klose,David Teymur,https://www.mmafighting.com/2017/12/1/16723370/ufc-218-weigh-in-video,156.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Deanna Bennett (126) vs. Melinda Fabian (126),Melinda Fabian,Deanna Bennett,https://www.youtube.com/watch?v=CDPhGGnSaOA,126.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Emily Whitmire (125) vs. Gillian Robertson (125.5),Emily Whitmire,Gillian Robertson,https://www.youtube.com/watch?v=CDPhGGnSaOA,125.0
2017-12-01,Bellator 189,Brian Grinnell (169.9) vs. Kemmyelle Haley (169.5),Kemmyelle Haley,Brian Grinnell,https://www.mmafighting.com/2017/11/30/16719742/bellator-189-weigh-in-video,169.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Nicco Montano (124.5) vs. Roxanne Modafferi (124),Roxanne Modafferi,Nicco Montano,https://www.youtube.com/watch?v=CDPhGGnSaOA,124.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Nicco Montano (124.5) vs. Roxanne Modafferi (124),Nicco Montano,Roxanne Modafferi,https://www.youtube.com/watch?v=CDPhGGnSaOA,124.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Sean O'Malley (135.5) vs. Terrion Ware (136),Terrion Ware,Sean O'Malley,https://www.youtube.com/watch?v=CDPhGGnSaOA,136.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Sean O'Malley (135.5) vs. Terrion Ware (136),Sean O'Malley,Terrion Ware,https://www.youtube.com/watch?v=CDPhGGnSaOA,135.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Barb Honchak (125.5) vs. Lauren Murphy (124.5),Lauren Murphy,Barb Honchak,https://www.youtube.com/watch?v=CDPhGGnSaOA,124.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Barb Honchak (125.5) vs. Lauren Murphy (124.5),Barb Honchak,Lauren Murphy,https://www.youtube.com/watch?v=CDPhGGnSaOA,125.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Eric Spicely (185.5) vs. Gerald Meerschaert (185),Gerald Meerschaert,Eric Spicely,https://www.youtube.com/watch?v=CDPhGGnSaOA,185.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Eric Spicely (185.5) vs. Gerald Meerschaert (185),Eric Spicely,Gerald Meerschaert,https://www.youtube.com/watch?v=CDPhGGnSaOA,185.5
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Andrew Sanchez (185.5) vs. Ryan Janes (185),Ryan Janes,Andrew Sanchez,https://www.youtube.com/watch?v=CDPhGGnSaOA,185.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Deanna Bennett (126) vs. Melinda Fabian (126),Deanna Bennett,Melinda Fabian,https://www.youtube.com/watch?v=CDPhGGnSaOA,126.0
2017-12-01,The Ultimate Fighter Finale: Montano vs Modafferi,Joe Soto (135) vs. Brett Johns (135.5),Brett Johns,Joe Soto,https://www.youtube.com/watch?v=CDPhGGnSaOA,135.5
